sample_id,target_byte,repeat,timing_ns
1207,239,7,34958
1208,239,8,29875
1209,239,9,34000
1210,239,10,32833
1211,239,11,29208
1212,239,12,31000
1213,239,13,28541
1214,239,14,30333
1215,239,15,33625
1216,239,16,34583
1217,239,17,34833
1218,239,18,27833
1219,239,19,35583
1220,32,0,35500
1221,32,1,34166
1222,32,2,31666
1223,32,3,33541
1224,32,4,34708
1225,32,5,34291
1226,32,6,33666
1227,32,7,24875
1228,32,8,35666
1229,32,9,27875
1230,32,10,34708
1231,32,11,35125
1232,32,12,34375
1233,32,13,35208
1234,32,14,33916
1235,32,15,22750
1236,32,16,96250
1237,32,17,35125
1238,32,18,36208
1239,32,19,35875
1240,212,0,34291
1241,212,1,31416
1242,212,2,24125
1243,212,3,32875
1244,212,4,26625
1245,212,5,32416
1246,212,6,32541
1247,212,7,27583
1248,212,8,31541
1249,212,9,38000
1250,212,10,38958
1251,212,11,25125
1252,212,12,33625
1253,212,13,29166
1254,212,14,22791
1255,212,15,35833
1256,212,16,26041
1257,212,17,33416
1258,212,18,28583
1259,212,19,32416
1260,180,0,28375
1261,180,1,35416
1262,180,2,35208
1263,180,3,22541
1264,180,4,22666
1265,180,5,34583
1266,180,6,34666
1267,180,7,35250
1268,180,8,34083
1269,180,9,36708
1270,180,10,34916
1271,180,11,29833
1272,180,12,24875
1273,180,13,23250
1274,180,14,23375
1275,180,15,31291
1276,180,16,32750
1277,180,17,31250
1278,180,18,29708
1279,180,19,27083
1280,49,0,33166
1281,49,1,31916
1282,49,2,31958
1283,49,3,22916
1284,49,4,33833
1285,49,5,22750
1286,49,6,33166
1287,49,7,23791
1288,49,8,32458
1289,49,9,34208
1290,49,10,32791
1291,49,11,31250
1292,49,12,37291
1293,49,13,32708
1294,49,14,32625
1295,49,15,33458
1296,49,16,34541
1297,49,17,34333
1298,49,18,35791
1299,49,19,34166
1300,119,0,33208
1301,119,1,37541
1302,119,2,31125
1303,119,3,30666
1304,119,4,22750
1305,119,5,31541
1306,119,6,23458
1307,119,7,34875
1308,119,8,28625
1309,119,9,30125
1310,119,10,33250
1311,119,11,27208
1312,119,12,33875
1313,119,13,23583
1314,119,14,32416
1315,119,15,27291
1316,119,16,33458
1317,119,17,32166
1318,119,18,39000
1319,119,19,34833
1320,123,0,34416
1321,123,1,34666
1322,123,2,31125
1323,123,3,32875
1324,123,4,34833
1325,123,5,32791
1326,123,6,33375
1327,123,7,34916
1328,123,8,33958
1329,123,9,30458
1330,123,10,31791
1331,123,11,28541
1332,123,12,28041
1333,123,13,28625
1334,123,14,31375
1335,123,15,31791
1336,123,16,34625
1337,123,17,25416
1338,123,18,30500
1339,123,19,33333
1340,183,0,33833
1341,183,1,34125
1342,183,2,34375
1343,183,3,31583
1344,183,4,38250
1345,183,5,34291
1346,183,6,26000
1347,183,7,31041
1348,183,8,36125
1349,183,9,36750
1350,183,10,32000
1351,183,11,27750
1352,183,12,34958
1353,183,13,30625
1354,183,14,33041
1355,183,15,27750
1356,183,16,34875
1357,183,17,23000
1358,183,18,31083
1359,183,19,22958
1360,169,0,34833
1361,169,1,34500
1362,169,2,26333
1363,169,3,34750
1364,169,4,33041
1365,169,5,31166
1366,169,6,24500
1367,169,7,33500
1368,169,8,34833
1369,169,9,30250
1370,169,10,32875
1371,169,11,35416
1372,169,12,58541
1373,169,13,32875
1374,169,14,36666
1375,169,15,29041
1376,169,16,31458
1377,169,17,30416
1378,169,18,23500
1379,169,19,34791
1380,90,0,26375
1381,90,1,24166
1382,90,2,32291
1383,90,3,32583
1384,90,4,31041
1385,90,5,27333
1386,90,6,34208
1387,90,7,33125
1388,90,8,34125
1389,90,9,24541
1390,90,10,27916
1391,90,11,34541
1392,90,12,28875
1393,90,13,30750
1394,90,14,35416
1395,90,15,27291
1396,90,16,31166
1397,90,17,34583
1398,90,18,26375
1399,90,19,28250
1400,220,0,25833
1401,220,1,29875
1402,220,2,33000
1403,220,3,28625
1404,220,4,22541
1405,220,5,31041
1406,220,6,26416
1407,220,7,31666
1408,220,8,34041
1409,220,9,26333
1410,220,10,32500
1411,220,11,30583
1412,220,12,33333
1413,220,13,23583
1414,220,14,31833
1415,220,15,28125
1416,220,16,29833
1417,220,17,31958
1418,220,18,28458
1419,220,19,27166
1420,173,0,30916
1421,173,1,34625
1422,173,2,33083
1423,173,3,31500
1424,173,4,35791
1425,173,5,33541
1426,173,6,30333
1427,173,7,29875
1428,173,8,29250
1429,173,9,34166
1430,173,10,33791
1431,173,11,35291
1432,173,12,33375
1433,173,13,30625
1434,173,14,31666
1435,173,15,32875
1436,173,16,31666
1437,173,17,27583
1438,173,18,22708
1439,173,19,22250
1440,157,0,35541
1441,157,1,27083
1442,157,2,26916
1443,157,3,29125
1444,157,4,24666
1445,157,5,27166
1446,157,6,27041
1447,157,7,31125
1448,157,8,22791
1449,157,9,24041
1450,157,10,28083
1451,157,11,33000
1452,157,12,28083
1453,157,13,23208
1454,157,14,31666
1455,157,15,30666
1456,157,16,30000
1457,157,17,27958
1458,157,18,24125
1459,157,19,31041
1460,166,0,30333
1461,166,1,26541
1462,166,2,26833
1463,166,3,30000
1464,166,4,31583
1465,166,5,30250
1466,166,6,30541
1467,166,7,28625
1468,166,8,26291
1469,166,9,26458
1470,166,10,32916
1471,166,11,33708
1472,166,12,26458
1473,166,13,24833
1474,166,14,36708
1475,166,15,24791
1476,166,16,22833
1477,166,17,33250
1478,166,18,27916
1479,166,19,31208
1480,180,0,33750
1481,180,1,23625
1482,180,2,33958
1483,180,3,31875
1484,180,4,35416
1485,180,5,36791
1486,180,6,33416
1487,180,7,35250
1488,180,8,29791
